,,,,2011,,,
Old ward code,New code,Ward name,Borough name,All aged 16-74 in work,Travel by bicycle,% travel by bicycle,Percentage point change
00ARGU,E05000322,Squirrel's Heath,Havering,"6,924",50,0.7,0
00ARGW,E05000323,Upminster,Havering,"6,188",42,0.7,0
00ASGG,E05000324,Barnhill,Hillingdon,"5,877",73,1.2,-0.4
00ASGH,E05000325,Botwell,Hillingdon,"6,448",100,1.6,-0.3
00ASGJ,E05000326,Brunel,Hillingdon,"5,995",106,1.8,-0.6
00ASGK,E05000327,Cavendish,Hillingdon,"5,925",70,1.2,-0.2
00ASGL,E05000328,Charville,Hillingdon,"5,918",82,1.4,-0.6
00ASGM,E05000329,Eastcote and East Ruislip,Hillingdon,"6,050",74,1.2,0.1
00ASGN,E05000330,Harefield,Hillingdon,"3,695",52,1.4,0.2
00ASGP,E05000331,Heathrow Villages,Hillingdon,"6,220",88,1.4,-0.5
00ASGQ,E05000332,Hillingdon East,Hillingdon,"6,217",93,1.5,-0.3
00ASGR,E05000333,Ickenham,Hillingdon,"5,074",80,1.6,0
00ASGS,E05000334,Manor,Hillingdon,"6,055",69,1.1,0.1
00ASGT,E05000335,Northwood,Hillingdon,"5,134",41,0.8,-0.1
00ASGU,E05000336,Northwood Hills,Hillingdon,"5,677",57,1,0.1
00ASGW,E05000337,Pinkwell,Hillingdon,"6,523",69,1.1,-0.6
00ASGX,E05000338,South Ruislip,Hillingdon,"6,586",133,2,0.1
00ASGY,E05000339,Townfield,Hillingdon,"6,082",84,1.4,-1
00ASGZ,E05000340,Uxbridge North,Hillingdon,"6,077",92,1.5,-0.5
00ASHA,E05000341,Uxbridge South,Hillingdon,"6,231",129,2.1,0.2
00ASHB,E05000342,West Drayton,Hillingdon,"6,647",124,1.9,-0.6
00ASHC,E05000343,West Ruislip,Hillingdon,"5,594",84,1.5,0.1
00ASHD,E05000344,Yeading,Hillingdon,"6,104",100,1.6,0.2
00ASHE,E05000345,Yiewsley,Hillingdon,"6,161",136,2.2,-0.6
00ATFY,E05000346,Bedfont,Hounslow,"6,224",189,3,-1.1
00ATFZ,E05000347,Brentford,Hounslow,"7,212",358,5,0.9
00ATGA,E05000348,Chiswick Homefields,Hounslow,"6,287",436,6.9,2.9
00ATGB,E05000349,Chiswick Riverside,Hounslow,"6,423",451,7,3.6
00ATGC,E05000350,Cranford,Hounslow,"5,627",104,1.8,-0.3
00ATGD,E05000351,Feltham North,Hounslow,"5,619",163,2.9,-0.7
00ATGE,E05000352,Feltham West,Hounslow,"7,768",228,2.9,-1
00ATGF,E05000353,Hanworth,Hounslow,"5,409",187,3.5,-1
00ATGG,E05000354,Hanworth Park,Hounslow,"5,725",154,2.7,-0.5
00ATGH,E05000355,Heston Central,Hounslow,"5,692",86,1.5,-0.7
00ATGJ,E05000356,Heston East,Hounslow,"5,860",62,1.1,-0.8
00ATGK,E05000357,Heston West,Hounslow,"5,252",61,1.2,-0.7
00ATGL,E05000358,Hounslow Central,Hounslow,"7,914",118,1.5,-0.7
00ATGM,E05000359,Hounslow Heath,Hounslow,"6,984",141,2,-0.1
00ATGN,E05000360,Hounslow South,Hounslow,"5,886",208,3.5,0.4
00ATGP,E05000361,Hounslow West,Hounslow,"6,399",96,1.5,-0.1
00ATGQ,E05000362,Isleworth,Hounslow,"5,939",278,4.7,0
00ATGR,E05000363,Osterley and Spring Grove,Hounslow,"7,045",197,2.8,0.6
00ATGS,E05000364,Syon,Hounslow,"7,216",316,4.4,1.1
00ATGT,E05000365,Turnham Green,Hounslow,"6,551",327,5,2
00AUFX,E05000366,Barnsbury,Islington,"6,431",624,9.7,5.1
00AUFY,E05000367,Bunhill,Islington,"6,986",508,7.3,3.5
00AUFZ,E05000368,Caledonian,Islington,"6,604",539,8.2,4
00AUGA,E05000369,Canonbury,Islington,"6,207",561,9,3.9
00AUGB,E05000370,Clerkenwell,Islington,"5,843",488,8.4,5.1
00AUGC,E05000371,Finsbury Park,Islington,"6,956",571,8.2,4.2
00AUGD,E05000372,Highbury East,Islington,"6,519",840,12.9,6.6
00AUGE,E05000373,Highbury West,Islington,"8,864",901,10.2,4
00AUGF,E05000374,Hillrise,Islington,"5,678",454,8,4.6
00AUGG,E05000375,Holloway,Islington,"7,424",651,8.8,4.1
00AUGH,E05000376,Junction,Islington,"6,238",586,9.4,4.7
00AUGJ,E05000377,Mildmay,Islington,"6,655",877,13.2,7
00AUGK,E05000378,St George's,Islington,"6,453",734,11.4,5.8
00AUGL,E05000379,St Mary's,Islington,"6,623",591,8.9,5.1
00AUGM,E05000380,St Peter's,Islington,"6,410",623,9.7,5.3
